"vintage","lambda_multiple","lambda","n_players","spearman_rapm","spearman_offense","spearman_defense","scale_drift","top50_overlap"
2019,0.25,0.00120655123149762,10763,0.931671573981254,0.93448558303695,0.938141784600022,2.01913285553206,0.64
2019,0.5,0.00241310246299523,10763,0.981226341548677,0.981801543448721,0.9831064325603,1.42199597078692,0.78
2019,1,0.00482620492599047,10763,1,1,1,1,1
2019,2,0.00965240985198094,10763,0.982885069670127,0.982124402062939,0.98384201843835,0.701382096933453,0.82
2019,4,0.0193048197039619,10763,0.944117624711087,0.940321350674689,0.946894000042264,0.48156837314189,0.78
2020,0.25,0.0011703832341035,11215,0.932573523379679,0.932962139885758,0.938991011142172,1.99776529699939,0.7
2020,0.5,0.00234076646820701,11215,0.981707481610326,0.981433123275895,0.983399306638475,1.41378361514515,0.86
2020,1,0.00468153293641401,11215,1,1,1,1,1
2020,2,0.00936306587282803,11215,0.983350356318209,0.98245635392971,0.984389053729353,0.70544670557801,0.82
2020,4,0.0187261317456561,11215,0.944896110372603,0.942070547307091,0.948775863145013,0.486999570045507,0.68
2021,0.25,0.00119821551300745,11069,0.929792971909767,0.9307040773569,0.937729023320916,1.98939580829191,0.64
2021,0.5,0.0023964310260149,11069,0.980825932300219,0.980650435200624,0.982972902410805,1.40902607728786,0.82
2021,1,0.0047928620520298,11069,1,1,1,1,1
2021,2,0.00958572410405961,11069,0.98199943751542,0.981836224616957,0.98337479572406,0.708840199887312,0.8
2021,4,0.0191714482081192,11069,0.941489834058236,0.939951319818666,0.945846436912043,0.491575567577837,0.72
2022,0.25,0.00082626378085454,11543,0.931661307506889,0.935951536854674,0.939831287293515,1.97024257669898,0.5
2022,0.5,0.00165252756170908,11543,0.980322449155237,0.981259939079689,0.983099506634982,1.40758882684153,0.8
2022,1,0.00330505512341816,11543,1,1,1,1,1
2022,2,0.00661011024683632,11543,0.980383177031792,0.980335977368541,0.982703502254584,0.711043823406121,0.8
2022,4,0.0132202204936726,11543,0.933111993871869,0.931670544453726,0.938174870351542,0.500207339818798,0.68
2023,0.25,0.000809067028702412,11856,0.933070149094843,0.936012138193433,0.937872540955584,1.95520738788674,0.58
2023,0.5,0.00161813405740482,11856,0.981100683071693,0.981664436334097,0.982600603150659,1.40396995562282,0.74
2023,1,0.00323626811480965,11856,1,1,1,1,1
2023,2,0.00647253622961929,11856,0.981253671712068,0.981343613536989,0.982354931199205,0.713346808367014,0.82
2023,4,0.0129450724592386,11856,0.934955804762826,0.934205881302222,0.93679549348916,0.502328549384472,0.68
2024,0.25,0.000793805115786769,11958,0.934068133896686,0.938298109117772,0.936050962395152,1.94318437243901,0.64
2024,0.5,0.00158761023157354,11958,0.981190119238201,0.982257218710165,0.981834161945966,1.39961060377508,0.8
2024,1,0.00317522046314708,11958,1,1,1,1,1
2024,2,0.00635044092629415,11958,0.980617266853629,0.980923013717786,0.981343995857904,0.715475939084027,0.86
2024,4,0.0127008818525883,11958,0.933180713495428,0.931819951041028,0.934591927029038,0.506722127100595,0.8
2025,0.25,0.000773806662544525,12185,0.936414552669407,0.938893501537461,0.938343920790238,1.9346237758671,0.6
2025,0.5,0.00154761332508905,12185,0.981885842031377,0.982531651704784,0.982505015456967,1.39640115077702,0.82
2025,1,0.0030952266501781,12185,1,1,1,1,1
2025,2,0.0061904533003562,12185,0.980973389453282,0.981379410679565,0.981395867672872,0.716282791191495,0.84
2025,4,0.0123809066007124,12185,0.933984682176717,0.93395012199264,0.934226750802269,0.50773201515383,0.74
2026,0.25,0.000735966044360812,13086,0.936654102155917,0.939245759036344,0.939701283224488,1.93088392681128,0.58
2026,0.5,0.00147193208872162,13086,0.981651176278017,0.98272427115507,0.982760858277581,1.39728174486802,0.8
2026,1,0.00294386417744325,13086,1,1,1,1,1
2026,2,0.0058877283548865,13086,0.98116776852832,0.981920507795687,0.98213431140402,0.715390043475581,0.86
2026,4,0.011775456709773,13086,0.934654826129502,0.936280813236911,0.936261264864995,0.506031120940212,0.72
