candidate,target,column,coef,base_feature,is_deviation,constrained
S2,defense,dev__CF__clearances_p90,0.00293586644869424,clearances_p90,TRUE,FALSE
S2,defense,dev__CB__clearances_p90,0.00282654042996145,clearances_p90,TRUE,FALSE
S2,defense,dev__FBWB__clearances_p90,0.00269285802969691,clearances_p90,TRUE,FALSE
S2,defense,dev__CB__crosses_p90,0.00197972520031119,crosses_p90,TRUE,FALSE
S2,defense,dev__DMCM__clearances_p90,0.00135544837008712,clearances_p90,TRUE,FALSE
S2,defense,dev__DMCM__aerial_won_p90,-0.0010885223458044,aerial_won_p90,TRUE,FALSE
S2,defense,dev__CF__aerial_won_p90,0.000834033337901784,aerial_won_p90,TRUE,FALSE
S2,defense,dev__AMWIDE__aerial_won_p90,0.00063764075998866,aerial_won_p90,TRUE,FALSE
S2,defense,dev__CB__aerial_won_p90,-0.000428194343683497,aerial_won_p90,TRUE,FALSE
S2,defense,dev__FBWB__aerial_won_p90,-0.00039686657492474,aerial_won_p90,TRUE,FALSE
S2,defense,dev__CF__crosses_p90,0.000379589274736507,crosses_p90,TRUE,FALSE
S2,defense,dev__DMCM__crosses_p90,-0.000375815894035416,crosses_p90,TRUE,FALSE
S2,defense,dev__CB__passes_p90,-0.000307177045103153,passes_p90,TRUE,FALSE
S2,defense,dev__AMWIDE__crosses_p90,0.000205294716540173,crosses_p90,TRUE,FALSE
S2,defense,dev__FBWB__crosses_p90,-0.000205024122332117,crosses_p90,TRUE,FALSE
S2,defense,dev__CB__touches_p90,0.000102329507605262,touches_p90,TRUE,FALSE
S2,defense,dev__CF__touches_p90,-8.78572945362697e-05,touches_p90,TRUE,FALSE
S2,defense,dev__FBWB__passes_p90,-6.58982872361967e-05,passes_p90,TRUE,FALSE
S2,defense,dev__CF__passes_p90,5.05843326263267e-05,passes_p90,TRUE,FALSE
S2,defense,dev__DMCM__touches_p90,3.43784224802291e-05,touches_p90,TRUE,FALSE
S2,offense,dev__CF__clearances_p90,-0.00643740372566533,clearances_p90,TRUE,FALSE
S2,offense,dev__FBWB__clearances_p90,-0.00472102194993269,clearances_p90,TRUE,FALSE
S2,offense,dev__CB__clearances_p90,-0.00412345097315213,clearances_p90,TRUE,FALSE
S2,offense,dev__DMCM__clearances_p90,-0.00280990913738742,clearances_p90,TRUE,FALSE
S2,offense,dev__CB__crosses_p90,-0.00280444890207991,crosses_p90,TRUE,FALSE
S2,offense,dev__DMCM__aerial_won_p90,0.00121551603757054,aerial_won_p90,TRUE,FALSE
S2,offense,dev__CF__aerial_won_p90,0.00119766107772829,aerial_won_p90,TRUE,FALSE
S2,offense,dev__FBWB__crosses_p90,0.000657530015067859,crosses_p90,TRUE,FALSE
S2,offense,dev__AMWIDE__crosses_p90,0.000551133899691058,crosses_p90,TRUE,FALSE
S2,offense,dev__CB__passes_p90,0.00047178694619548,passes_p90,TRUE,FALSE
S2,offense,dev__AMWIDE__clearances_p90,0.00038795016364143,clearances_p90,TRUE,FALSE
S2,offense,dev__FBWB__passes_p90,0.000250975082294092,passes_p90,TRUE,FALSE
S2,offense,dev__AMWIDE__aerial_won_p90,0.000193658149231207,aerial_won_p90,TRUE,FALSE
S2,offense,dev__FBWB__aerial_won_p90,-0.000131729297992376,aerial_won_p90,TRUE,FALSE
S2,offense,dev__CF__touches_p90,0.000113416014660379,touches_p90,TRUE,FALSE
S2,offense,dev__CF__passes_p90,-0.000112543489584588,passes_p90,TRUE,FALSE
S2,offense,dev__AMWIDE__passes_p90,-9.5921247148799e-05,passes_p90,TRUE,FALSE
S2,offense,dev__DMCM__passes_p90,8.0928326149974e-05,passes_p90,TRUE,FALSE
S2,offense,dev__DMCM__crosses_p90,5.36317477154349e-05,crosses_p90,TRUE,FALSE
S2,offense,dev__AMWIDE__touches_p90,2.01465879743088e-05,touches_p90,TRUE,FALSE
S3,defense,dev__AMWIDE__clearances_p90,-0.00181778238297632,clearances_p90,TRUE,TRUE
S3,defense,dev__DMCM__aerial_won_p90,-0.0014101394489481,aerial_won_p90,TRUE,TRUE
S3,defense,dev__CB__crosses_p90,0.00105466156880304,crosses_p90,TRUE,TRUE
S3,defense,dev__DMCM__crosses_p90,-0.000585070972463463,crosses_p90,TRUE,TRUE
S3,defense,dev__DMCM__clearances_p90,-0.000536941239458774,clearances_p90,TRUE,TRUE
S3,defense,dev__CB__passes_p90,-0.000461343727388418,passes_p90,TRUE,TRUE
S3,defense,dev__CB__aerial_won_p90,-0.000383108156762629,aerial_won_p90,TRUE,TRUE
S3,defense,dev__FBWB__crosses_p90,-0.000356567547976794,crosses_p90,TRUE,TRUE
S3,defense,dev__FBWB__aerial_won_p90,-0.000331962049872553,aerial_won_p90,TRUE,TRUE
S3,defense,dev__CB__touches_p90,0.000315117352481178,touches_p90,TRUE,TRUE
S3,defense,dev__CF__crosses_p90,-0.0001194572888239,crosses_p90,TRUE,TRUE
S3,defense,dev__DMCM__touches_p90,0.000108654609169115,touches_p90,TRUE,TRUE
S3,defense,dev__AMWIDE__passes_p90,0.000100827131523893,passes_p90,TRUE,TRUE
S3,defense,dev__CF__passes_p90,7.01315043070133e-05,passes_p90,TRUE,TRUE
S3,defense,dev__FBWB__touches_p90,6.46542793728195e-05,touches_p90,TRUE,TRUE
S3,defense,dev__FBWB__passes_p90,-5.26037505063748e-05,passes_p90,TRUE,TRUE
S3,defense,dev__CF__touches_p90,-1.11799373119859e-05,touches_p90,TRUE,TRUE
S3,defense,dev__DMCM__passes_p90,4.02827197670013e-06,passes_p90,TRUE,TRUE
S3,offense,dev__CF__clearances_p90,-0.00643897606555729,clearances_p90,TRUE,TRUE
S3,offense,dev__FBWB__clearances_p90,-0.00472403948753275,clearances_p90,TRUE,TRUE
S3,offense,dev__CB__clearances_p90,-0.00412563112893186,clearances_p90,TRUE,TRUE
S3,offense,dev__DMCM__clearances_p90,-0.0028130081808696,clearances_p90,TRUE,TRUE
S3,offense,dev__CB__crosses_p90,-0.00280186148859603,crosses_p90,TRUE,TRUE
S3,offense,dev__DMCM__aerial_won_p90,0.00121541275038695,aerial_won_p90,TRUE,TRUE
S3,offense,dev__CF__aerial_won_p90,0.00119830399776527,aerial_won_p90,TRUE,TRUE
S3,offense,dev__FBWB__crosses_p90,0.000656910916619624,crosses_p90,TRUE,TRUE
S3,offense,dev__AMWIDE__crosses_p90,0.000549322686487071,crosses_p90,TRUE,TRUE
S3,offense,dev__CB__passes_p90,0.000471709006685873,passes_p90,TRUE,TRUE
S3,offense,dev__AMWIDE__clearances_p90,0.000384715358665675,clearances_p90,TRUE,TRUE
S3,offense,dev__FBWB__passes_p90,0.000250824158576573,passes_p90,TRUE,TRUE
S3,offense,dev__AMWIDE__aerial_won_p90,0.000194155080128381,aerial_won_p90,TRUE,TRUE
S3,offense,dev__FBWB__aerial_won_p90,-0.000132448557431307,aerial_won_p90,TRUE,TRUE
S3,offense,dev__CF__touches_p90,0.000113067666484696,touches_p90,TRUE,TRUE
S3,offense,dev__CF__passes_p90,-0.000111887983905146,passes_p90,TRUE,TRUE
S3,offense,dev__AMWIDE__passes_p90,-9.62300145188827e-05,passes_p90,TRUE,TRUE
S3,offense,dev__DMCM__passes_p90,8.09279327336592e-05,passes_p90,TRUE,TRUE
S3,offense,dev__DMCM__crosses_p90,5.36033786317794e-05,crosses_p90,TRUE,TRUE
S3,offense,dev__AMWIDE__touches_p90,2.04462287520394e-05,touches_p90,TRUE,TRUE
S4a,defense,dev__AMWIDE__clearances_p90,-0.00270980464551748,clearances_p90,TRUE,TRUE
S4a,defense,dev__CB__crosses_p90,0.00204822221298231,crosses_p90,TRUE,TRUE
S4a,defense,dev__DMCM__clearances_p90,-0.00150332208601378,clearances_p90,TRUE,TRUE
S4a,defense,dev__DMCM__aerial_won_p90,-0.000726796145599168,aerial_won_p90,TRUE,TRUE
S4a,defense,dev__FBWB__aerial_won_p90,-0.00028820937042859,aerial_won_p90,TRUE,TRUE
S4a,defense,dev__DMCM__crosses_p90,-0.000267515488115307,crosses_p90,TRUE,TRUE
S4a,defense,dev__DMCM__passes_p90,0.000115363400594703,passes_p90,TRUE,TRUE
S4a,defense,dev__FBWB__clearances_p90,-9.48292287181603e-05,clearances_p90,TRUE,TRUE
S4a,defense,dev__AMWIDE__crosses_p90,8.6809843253864e-05,crosses_p90,TRUE,TRUE
S4a,defense,dev__AMWIDE__passes_p90,7.35034203106921e-05,passes_p90,TRUE,TRUE
S4a,defense,dev__CB__passes_p90,-6.06944227000597e-05,passes_p90,TRUE,TRUE
S4a,defense,dev__CF__crosses_p90,5.16083293691714e-06,crosses_p90,TRUE,TRUE
S4a,defense,dev__DMCM__touches_p90,6.0269756823084e-07,touches_p90,TRUE,TRUE
S4a,offense,dev__CF__clearances_p90,-0.00634713012072117,clearances_p90,TRUE,TRUE
