target,mult,spearman_vs_x1,spearman_nonzero,n_nonzero,n_sign_flips,top20_overlap,scale_ratio
offense,x0.25,0.902719280954798,0.906592051739005,146,16,0.9,1.75691576085049
offense,x0.5,0.958527046805635,0.960906940169457,148,8,0.95,1.35573368589767
offense,x1,1,1,149,0,1,1
offense,x2,0.955409761850063,0.958660539029486,145,8,0.95,0.738895587699524
offense,x4,0.915374018118241,0.916723670262047,147,9,0.9,0.571645093097036
defense,x0.25,0.917634319308858,0.922280356284203,119,4,0.75,1.64560581806473
defense,x0.5,0.957275086724244,0.967893834453991,118,2,0.85,1.26054498611631
defense,x1,1,1,119,0,1,1
defense,x2,0.937872078520201,0.947726525569033,128,4,0.95,0.77796384169941
defense,x4,0.904133758621023,0.913238261974675,130,7,0.9,0.568167883246825
