role,stat_name,mean
DM,goals_p90,0.067023445841479
UNK,goals_p90,0.227720080718323
RB,goals_p90,0.0388837966717009
RM,goals_p90,0.104395559731732
LW,goals_p90,0.210438710431218
RW,goals_p90,0.202530074409865
CM,goals_p90,0.0906266555534304
CAM,goals_p90,0.221965017947265
CF,goals_p90,0.345938542077806
CB,goals_p90,0.0411686252181653
GK,goals_p90,0.000164028540966128
LM,goals_p90,0.114201884005695
LB,goals_p90,0.0396076095835689
RWB,goals_p90,0.0419703048415864
LWB,goals_p90,0.0250864251639074
RF,goals_p90,0
LF,goals_p90,0
DM,shots_p90,0.896709653849399
UNK,shots_p90,2.07084789820566
RB,shots_p90,0.558588907391306
RM,shots_p90,1.11430075682903
LW,shots_p90,2.00459719890505
RW,shots_p90,1.94524567408337
CM,shots_p90,1.03802863968374
CAM,shots_p90,1.93800495691798
CF,shots_p90,2.33753051820633
CB,shots_p90,0.497578246427385
GK,shots_p90,0.00262445665545805
LM,shots_p90,1.20345660274746
LB,shots_p90,0.589599833708289
RWB,shots_p90,0.532285603709616
LWB,shots_p90,0.650791677747728
RF,shots_p90,2.31679151061174
LF,shots_p90,2.13556985294118
DM,shots_on_target_p90,0.252955647623239
UNK,shots_on_target_p90,0.735930016638594
RB,shots_on_target_p90,0.160836335753169
RM,shots_on_target_p90,0.3834462024771
LW,shots_on_target_p90,0.743246904088406
RW,shots_on_target_p90,0.71875347262884
CM,shots_on_target_p90,0.318690993563978
CAM,shots_on_target_p90,0.718332214649462
CF,shots_on_target_p90,0.945446726746311
CB,shots_on_target_p90,0.142314941632221
GK,shots_on_target_p90,0.000574099893381448
LM,shots_on_target_p90,0.41807260721098
LB,shots_on_target_p90,0.159407388925612
RWB,shots_on_target_p90,0.159703401425434
LWB,shots_on_target_p90,0.178259271154906
RF,shots_on_target_p90,0.752808988764045
LF,shots_on_target_p90,0.330882352941176
DM,shots_ibox_p90,0.369524415611537
UNK,shots_ibox_p90,1.39109324783224
RB,shots_ibox_p90,0.320923443900714
RM,shots_ibox_p90,0.716421062007942
LW,shots_ibox_p90,1.3053107894026
RW,shots_ibox_p90,1.2532155441095
CM,shots_ibox_p90,0.486150869386711
CAM,shots_ibox_p90,1.15649557491718
CF,shots_ibox_p90,1.79543422952694
CB,shots_ibox_p90,0.403664736330359
GK,shots_ibox_p90,0.00237841384400886
LM,shots_ibox_p90,0.741493155518305
LB,shots_ibox_p90,0.312947121797006
RWB,shots_ibox_p90,0.333335624419236
LWB,shots_ibox_p90,0.385471312243988
RF,shots_ibox_p90,1.81398252184769
LF,shots_ibox_p90,1.43244485294118
DM,shots_obox_p90,0.527185238237861
UNK,shots_obox_p90,0.679668135453926
RB,shots_obox_p90,0.237665463490592
RM,shots_obox_p90,0.397879694821089
LW,shots_obox_p90,0.699286409502452
RW,shots_obox_p90,0.692030129973873
CM,shots_obox_p90,0.551877770297026
CAM,shots_obox_p90,0.7815093820008
CF,shots_obox_p90,0.542038355727125
CB,shots_obox_p90,0.093913510097026
GK,shots_obox_p90,0.000246042811449192
LM,shots_obox_p90,0.461963447229153
LB,shots_obox_p90,0.276652711911282
RWB,shots_obox_p90,0.19894997929038
LWB,shots_obox_p90,0.26532036550374
RF,shots_obox_p90,0.502808988764045
LF,shots_obox_p90,0.703125
DM,big_chance_scored_p90,0.033110252464983
UNK,big_chance_scored_p90,0.1498503622293
RB,big_chance_scored_p90,0.02333302272639
RM,big_chance_scored_p90,0.0616376221057818
LW,big_chance_scored_p90,0.13147461233281
RW,big_chance_scored_p90,0.117130181247522
CM,big_chance_scored_p90,0.0473471500347147
CAM,big_chance_scored_p90,0.135899633783285
CF,big_chance_scored_p90,0.259646782648926
CB,big_chance_scored_p90,0.0280496109801846
GK,big_chance_scored_p90,0.000164028540966128
LM,big_chance_scored_p90,0.0654830648261797
LB,big_chance_scored_p90,0.0218853931388132
RWB,big_chance_scored_p90,0.0254055147868884
LWB,big_chance_scored_p90,0.0119923596627993
RF,big_chance_scored_p90,0
LF,big_chance_scored_p90,0
DM,big_chance_missed_p90,0.0569754168764514
UNK,big_chance_missed_p90,0.261371363991172
RB,big_chance_missed_p90,0.0434365742832292
RM,big_chance_missed_p90,0.10804651446568
LW,big_chance_missed_p90,0.2250406826512
RW,big_chance_missed_p90,0.209491118615285
CM,big_chance_missed_p90,0.073781042848824
CAM,big_chance_missed_p90,0.204995471600736
CF,big_chance_missed_p90,0.385116255548895
CB,big_chance_missed_p90,0.0544493219948951
GK,big_chance_missed_p90,0.000164028540966128
LM,big_chance_missed_p90,0.120166079938268
LB,big_chance_missed_p90,0.0388040666412637
RWB,big_chance_missed_p90,0.0486988123674052
LWB,big_chance_missed_p90,0.0714925221394271
RF,big_chance_missed_p90,0.752808988764045
LF,big_chance_missed_p90,0.580882352941176
DM,assists_p90,0.0802797379268264
UNK,assists_p90,0.157939747267228
RB,assists_p90,0.0760511257743706
RM,assists_p90,0.135065741289174
LW,assists_p90,0.15679353302821
