axis,level,factor,slope,se,n_obs
position,DEF,1.0864,1.0864,0.0615,
position,FWD,1.2783,1.2783,0.0575,
position,GK,0.6411,0.6411,0.0429,
position,MID,1.2337,1.2337,0.0395,
season,2016,0.89,0.87,0.0404,2174
season,2017,0.9961,0.9956,0.034,3306
season,2018,0.9875,0.9856,0.037,3480
season,2019,0.9115,0.8943,0.0418,2838
season,2020,1.0424,1.0509,0.0424,2654
season,2021,0.9705,0.9658,0.0381,3690
season,2022,0.992,0.9906,0.0404,4024
season,2023,1.202,1.2424,0.0424,4138
season,2024,1.0166,1.0194,0.0389,3918
season,2025,1.0558,1.0656,0.0397,3832
