league,role,psr,osr,dsr,n,live_subset
ACLE,DEF,0.252090661723196,0.12293793759654,0.12915272412665,909,FALSE
ACLE,FWD,0.376716886559618,0.307791248748421,0.0689256378111992,483,FALSE
ACLE,GK,-0.140508657341398,-0.117831378621663,-0.0226772787197342,234,FALSE
ACLE,MID,0.300598975331269,0.184953162502246,0.115645812829021,947,FALSE
ACLE,OTHER,0.372666418167626,0.256979568244999,0.115686849922628,714,FALSE
AFCON,DEF,0.246218943172281,0.112808884884374,0.133410058287907,0,FALSE
AFCON,FWD,0.382177706191801,0.303312415957208,0.0788652902345945,0,FALSE
AFCON,GK,-0.0981009424008903,-0.103832792535679,0.00573185013478904,0,FALSE
AFCON,MID,0.298634095709673,0.174358390409495,0.124275705300176,0,FALSE
AFCON,OTHER,0.356697098782321,0.237121554742411,0.119575544039911,0,FALSE
ARG,DEF,0.242810897299705,0.10591352565819,0.136897371641516,2011,FALSE
ARG,FWD,0.362998376302279,0.283046254759341,0.0799521215429415,1174,FALSE
ARG,GK,-0.143109262963584,-0.167262701898863,0.0241534389352806,510,FALSE
ARG,MID,0.28958074733306,0.165135733624935,0.124445013708121,1912,FALSE
ARG,OTHER,0.363397806164018,0.239113520102905,0.124284286061113,1817,FALSE
AUS,DEF,0.26164203645378,0.141211204536217,0.120430831917563,678,FALSE
AUS,FWD,0.39234182355112,0.334979243227623,0.0573625803234971,361,FALSE
AUS,GK,-0.100394042294527,-0.0836761074436202,-0.0167179348509064,174,FALSE
AUS,MID,0.311756460533716,0.206149665817904,0.105606794715813,697,FALSE
AUS,OTHER,0.383166983089892,0.276844200718633,0.106322782371265,587,FALSE
BEL,DEF,0.261437724439323,0.132237863575233,0.12919986086409,2216,FALSE
BEL,FWD,0.389321818184212,0.32027641927478,0.0690453989094446,1459,FALSE
BEL,GK,-0.132522137976338,-0.132707654976242,0.000185516999904725,609,FALSE
BEL,MID,0.311189451726624,0.195679237990697,0.115510213735952,2421,FALSE
BEL,OTHER,0.383661061458455,0.267766318881146,0.11589474257729,1869,FALSE
BRA,DEF,0.234565859344457,0.11119563589278,0.123370223451678,1416,FALSE
BRA,FWD,0.352077812222892,0.291001710897167,0.0610761013257216,900,FALSE
BRA,GK,-0.129373573833729,-0.110836891034235,-0.0185366827994938,364,FALSE
BRA,MID,0.280146061399308,0.171304939951822,0.108841121447489,1323,FALSE
BRA,OTHER,0.354310263921644,0.24473790781906,0.109572356102593,1298,FALSE
CAFCL,DEF,0.229818449965573,0.0983349498111773,0.131483500154395,198,FALSE
CAFCL,FWD,0.348110564378847,0.27554946011314,0.0725611042657057,124,FALSE
CAFCL,GK,-0.0696031572997647,-0.102282213931275,0.0326790566315103,50,FALSE
CAFCL,MID,0.275662740348407,0.156605305246419,0.119057435101986,178,FALSE
CAFCL,OTHER,0.344913239508311,0.227440201112668,0.117473038395644,142,FALSE
CCC,DEF,0.24272329536037,0.120658130021056,0.122065165339314,405,FALSE
CCC,FWD,0.36463190751475,0.304091662586994,0.0605402449277547,240,FALSE
CCC,GK,-0.0896452080811189,-0.0779492995171341,-0.0116959085639846,102,FALSE
CCC,MID,0.2900697254078,0.182187158492308,0.10788256691549,373,FALSE
CCC,OTHER,0.361513655528327,0.253358237170946,0.108155418357383,350,FALSE
CWC,DEF,0.26219672646624,0.141124153952502,0.121072572513738,0,FALSE
CWC,FWD,0.404830435853696,0.343456791663353,0.0613736441903418,0,FALSE
CWC,GK,-0.112060154924414,-0.0699765057244966,-0.0420836491999177,0,FALSE
CWC,MID,0.317164985118306,0.207198184893102,0.109966800225203,0,FALSE
CWC,OTHER,0.374088829808727,0.267942572559026,0.106146257249698,0,FALSE
ENG,DEF,0.265902027035441,0.138897204619974,0.127004822415468,2930,FALSE
ENG,FWD,0.395803255425703,0.32979293496305,0.0660103204626702,1886,FALSE
ENG,GK,-0.130952496340156,-0.138082800575341,0.00713030423518313,759,FALSE
ENG,MID,0.316324768901911,0.203391157258478,0.112933611643454,2776,FALSE
ENG,OTHER,0.388687898851516,0.275141995372956,0.113545903478556,2131,FALSE
ENG2,DEF,0.237941189828468,0.116302285542401,0.121638904286059,4157,FALSE
ENG2,FWD,0.355818318444717,0.297472421336643,0.0583458971080765,2630,FALSE
ENG2,GK,-0.162416894009701,-0.173125937542234,0.0107090435325376,1113,FALSE
ENG2,MID,0.283839425719564,0.177169506837303,0.106669918882257,4344,FALSE
ENG2,OTHER,0.358336405959034,0.250622797136464,0.107713608822554,3547,FALSE
ESP,DEF,0.25701327679778,0.130052779216501,0.126960497581261,3004,FALSE
ESP,FWD,0.382966768434903,0.317011125193895,0.0659556432409941,1796,FALSE
ESP,GK,-0.108729108546083,-0.104652539283551,-0.00407656926253223,760,FALSE
ESP,MID,0.305991330037294,0.193109796775604,0.112881533261669,2796,FALSE
ESP,OTHER,0.379024691649383,0.265522708689797,0.113501982959566,2732,FALSE
FRA,DEF,0.272388235560503,0.140651944558261,0.13173629100224,2256,FALSE
FRA,FWD,0.405371442169434,0.332502297338639,0.0728691448307793,1313,FALSE
FRA,GK,-0.0870559044796804,-0.0789034133017115,-0.00815249117796915,609,FALSE
FRA,MID,0.323825386039875,0.205405540269119,0.118419845770762,2524,FALSE
FRA,OTHER,0.395695646421695,0.276989874682119,0.118705771739556,1922,FALSE
GER,DEF,0.269235968813005,0.14498047552608,0.124255493286945,2159,FALSE
GER,FWD,0.400655150363541,0.338426566761719,0.0622285836018182,1237,FALSE
GER,GK,-0.146809010772414,-0.132466278866187,-0.0143427319062258,611,FALSE
GER,MID,0.320202878486677,0.210466994951777,0.109735883534927,2722,FALSE
GER,OTHER,0.392228856416775,0.281678090104835,0.110550766311952,1986,FALSE
ITA,DEF,0.245239751419753,0.119846809005043,0.125392942414702,2574,FALSE
ITA,FWD,0.366143315015518,0.302576574919113,0.0635667400963959,1552,FALSE
ITA,GK,-0.0995655413985286,-0.109610443487311,0.0100449020887833,757,FALSE
ITA,MID,0.292451151789535,0.181349338665555,0.111101813124006,3469,FALSE
ITA,OTHER,0.36624360247652,0.254439712290447,0.11180389018607,2692,FALSE
LGC,DEF,0.267186013176315,0.1322487775197,0.134937235656615,0,FALSE
LGC,FWD,0.411904068094771,0.330873600410797,0.0810304676839737,0,FALSE
LGC,GK,-0.136760012316671,-0.0866226880239887,-0.0501373242926822,0,FALSE
LGC,MID,0.322951514986149,0.196904603104543,0.126046911881608,0,FALSE
LGC,OTHER,0.379519641510132,0.258281773132882,0.121237868377248,0,FALSE
LIB,DEF,0.229016721823314,0.108874389620896,0.120142332202419,983,FALSE
LIB,FWD,0.344664672747364,0.288017126573828,0.0566475461735325,575,FALSE
LIB,GK,-0.10658207274764,-0.116161892211542,0.00957981946390289,250,FALSE
LIB,MID,0.273805567190033,0.16862605853007,0.105179508659959,941,FALSE
LIB,OTHER,0.347914261347943,0.241881714926579,0.106032546421358,816,FALSE
MEX,DEF,0.247847588631777,0.118171347046545,0.129676241585246,2427,FALSE
MEX,FWD,0.370394625069702,0.300498816403408,0.0698958086662986,1307,FALSE
MEX,GK,-0.132566601495915,-0.0977234280473742,-0.0348431734485402,622,FALSE
MEX,MID,0.295393410873232,0.179349824248621,0.116043586624603,2478,FALSE
MEX,OTHER,0.368974928275618,0.252520174096471,0.116454754179147,2060,FALSE
MLS,DEF,0.273531536322054,0.144553904953074,0.128977631368973,1695,FALSE
MLS,FWD,0.406920655072001,0.337926411570272,0.0689942435017265,1100,FALSE
MLS,GK,-0.112070829727927,-0.0783307412305755,-0.0337400884973514,446,FALSE
MLS,MID,0.325259483087607,0.209963839503636,0.115295643583968,1663,FALSE
MLS,OTHER,0.396718775937068,0.281015907172673,0.115702868764398,1342,FALSE
NED,DEF,0.264201962114643,0.141064478260907,0.123137483853746,2402,FALSE
NED,FWD,0.393163961468515,0.332620999571453,0.0605429618970577,1638,FALSE
NED,GK,-0.198490556084449,-0.192970676519524,-0.00551987956492603,617,FALSE
NED,MID,0.314339780840326,0.205859328885969,0.108480451954342,2134,FALSE
NED,OTHER,0.386683193677195,0.277353287951997,0.109329905725219,1990,FALSE
POR,DEF,0.249151218349467,0.117417895422133,0.13173332292733,2310,FALSE
POR,FWD,0.37215492184868,0.299351496986933,0.0728034248617628,1614,FALSE
POR,GK,-0.114688290796175,-0.107015726019754,-0.00767256477642219,612,FALSE
POR,MID,0.29693760954428,0.178484336739947,0.118453272804322,2193,FALSE
POR,OTHER,0.370412772536482,0.251710767002062,0.118702005534401,2081,FALSE
SAU,DEF,0.26306939712093,0.136085547555284,0.126983849565646,2434,FALSE
SAU,FWD,0.392032283217149,0.325828867288363,0.0662034159287955,1311,FALSE
SAU,GK,-0.135297015737445,-0.110553583509326,-0.0247434322281201,612,FALSE
SAU,MID,0.313057753745196,0.200126453964727,0.112931299780487,2373,FALSE
SAU,OTHER,0.385448832851184,0.271852400335464,0.113596432515725,1507,FALSE
SCO,DEF,0.249001907545863,0.123168823180491,0.125833084365357,1678,FALSE
SCO,FWD,0.371621148121135,0.307431266613613,0.0641898815075154,1052,FALSE
SCO,GK,-0.162580867847503,-0.169500461066525,0.00691959321902377,456,FALSE
SCO,MID,0.296855151113747,0.185193907703836,0.111661243409902,1827,FALSE
SCO,OTHER,0.370026503113884,0.257805196519486,0.112221306594409,1539,FALSE
SUD,DEF,0.233407081090664,0.109980825168999,0.123426255921669,882,FALSE
SUD,FWD,0.350868966382854,0.289568605030406,0.0613003613524439,522,FALSE
SUD,GK,-0.127038192975497,-0.127266526882452,0.000228333906955357,224,FALSE
SUD,MID,0.278934511961913,0.169910509824374,0.109024002137541,831,FALSE
SUD,OTHER,0.352588285102931,0.242998071838257,0.109590213264674,757,FALSE
TUR,DEF,0.244297946246088,0.11996789540374,0.124330050842336,2354,FALSE
TUR,FWD,0.365584522250092,0.303267382912023,0.0623171393380561,1384,FALSE
TUR,GK,-0.130380757580084,-0.120623000243229,-0.00975775733685605,611,FALSE
TUR,MID,0.291280369259834,0.181431960735084,0.109848408524749,2378,FALSE
TUR,OTHER,0.36515268559227,0.254510643229588,0.110642042362682,1788,FALSE
UCL,DEF,0.265587735229588,0.143420632263205,0.122167102966373,1686,FALSE
UCL,FWD,0.395159097412558,0.33598557787179,0.0591735195407662,1072,FALSE
UCL,GK,-0.157501785919716,-0.118671475156307,-0.0388303107634098,446,FALSE
UCL,MID,0.316046467911223,0.208654950912777,0.107391516998442,1696,FALSE
UCL,OTHER,0.38803895333406,0.27979208700781,0.10824686632625,1493,FALSE
UECL,DEF,0.205713013155725,0.0954301154967166,0.110282897659002,1965,FALSE
UECL,FWD,0.308167233651036,0.266461478527837,0.041705755123205,1208,FALSE
UECL,GK,-0.137368637339851,-0.123393427332156,-0.0139752100076968,522,FALSE
UECL,MID,0.246683668111079,0.153072702223116,0.0936109658879694,2039,FALSE
UECL,OTHER,0.322608540220183,0.22738938592594,0.0952191542942479,1732,FALSE
UEL,DEF,0.231002383410154,0.113757454694554,0.117244928715615,1815,FALSE
UEL,FWD,0.346451238230849,0.294246101079915,0.0522051371509281,1182,FALSE
UEL,GK,-0.11275165906441,-0.10325726658938,-0.00949439247503018,478,FALSE
UEL,MID,0.275916099938788,0.174243461090663,0.10167263884813,1775,FALSE
UEL,OTHER,0.350545701133095,0.247639877789311,0.102905823343777,1716,FALSE
WC,DEF,0.205408683482037,0.105654806570663,0.099753876911375,821,TRUE
WC,FWD,0.425046976327825,0.310568830284144,0.11447814604368,467,TRUE
WC,GK,-0.239857918460534,-0.141066075156231,-0.0987918433043029,208,TRUE
WC,MID,0.268335440639716,0.16073608277626,0.107599357863456,791,TRUE
WC,OTHER,0.375996545644266,0.248215605027478,0.127780940616788,732,TRUE
__default__,DEF,0.251144185184388,0.125586512590756,0.12555767259363,0,FALSE
__default__,FWD,0.374137538392784,0.310411967490829,0.063725570901955,0,FALSE
__default__,GK,-0.131660334183234,-0.125095840971245,-0.00656449321198857,0,FALSE
__default__,MID,0.299163034259307,0.188041624177134,0.111121410082177,0,FALSE
__default__,OTHER,0.372435600347793,0.260496844383265,0.111938755964524,0,FALSE
