"stat_name","beta","sd"
"goals_p90",-0.00763885167914397,1
"shots_p90",0.00207462233479417,1
"shots_ibox_p90",-0.00201693893743912,1
"shots_obox_p90",-0.000162005634823509,1
"big_chance_scored_p90",0.0255012443401607,1
"big_chance_missed_p90",0.00750754393426325,1
"assists_p90",0.00809395737197069,1
"big_chance_created_p90",0.0250061313340148,1
"total_att_assist_p90",-0.00145485951415075,1
"key_passes_p90",0.00101614335079184,1
"through_balls_p90",0.0197845501341901,1
"passes_p90",-6.75770629140752e-07,1
"final_third_passes_p90",0.000440512765665647,1
"long_balls_p90",-0.000787059155762349,1
"forward_pass_p90",0.000290060532633288,1
"tackles_p90",0.0027144547890062,1
"tackles_won_p90",-1.29858193352693e-05,1
"interceptions_p90",0.00119812210179717,1
"clearances_p90",4.8404930228769e-05,1
"clearances_effective_p90",-0.000283817379345988,1
"blocks_p90",0.00805099282014663,1
"blocked_passes_p90",0.00223316125140201,1
"duel_won_p90",-0.0020835274693229,1
"duel_lost_p90",0.00204640915839854,1
"aerial_lost_p90",-1.08558377438169e-05,1
"touches_p90",0.00074190670959992,1
"touches_opp_box_p90",0.00444082100287587,1
"poss_won_def3rd_p90",0.0019177622905585,1
"poss_won_mid3rd_p90",-0.000399352282970271,1
"poss_won_att3rd_p90",0.00102038224547503,1
"ball_recovery_p90",0.000354282666648712,1
"dispossessed_p90",-0.000387107142973461,1
"turnover_p90",-0.000533783756573817,1
"times_tackled_p90",-0.000606879639596425,1
"corners_taken_p90",-0.00454499947683847,1
"corners_won_p90",0.00131236103082184,1
"pen_area_entries_p90",0.00297470061410556,1
"final_third_entries_p90",-0.00161605630670436,1
"fouls_p90",-0.000709502656472694,1
"goals_conceded_p90",-0.0118697103671405,1
"fwd_zone_pass_p90",-1.91436096601675e-05,1
"open_play_pass_p90",0.00108511036890895,1
"error_lead_to_goal_p90",0.00398656917099811,1
"att_fastbreak_p90",-0.00710165010416141,1
"shot_fastbreak_p90",-0.00534841171677746,1
"att_openplay_p90",-0.00458303766891265,1
"att_setpiece_p90",-0.0109010770733491,1
"att_headed_p90",0.00488280544555121,1
"att_one_on_one_p90",-0.00384163936882183,1
"penalty_won_p90",0.0394343603399471,1
"penalty_conceded_p90",0.0133987783209447,1
"offtarget_att_assist_p90",-0.00195144015578223,1
"last_man_tackle_p90",0.031185571688477,1
"six_yard_block_p90",0.00304030476392884,1
"clearance_off_line_p90",-0.0270745352385496,1
"keeper_sweeper_p90",0.00181103511160687,1
"attempts_conceded_ibox_p90",-0.00849662991594582,1
"attempts_conceded_obox_p90",-0.00227901755815657,1
"gk_smother_p90",0.00425462596593369,1
"saves_ibox_p90",-0.00215240313080271,1
"saves_obox_p90",0.00341588191936767,1
"good_high_claim_p90",6.99195866643975e-05,1
"punches_p90",-0.00776442034229119,1
"keeper_throws_p90",0.0058582605765758,1
"unsuccessful_touch_p90",-0.000465807573772766,1
"overrun_p90",0.00522709606535646,1
"flick_on_p90",-0.000189973498494226,1
"back_zone_pass_p90",-0.0010563894759683,1
"chipped_pass_p90",9.38924498780695e-05,1
"att_lf_total_p90",0.000137360891223732,1
"att_obox_goal_p90",0.0183955880752238,1
"att_ibox_target_p90",0.000889956203509367,1
"att_obox_target_p90",-0.00537403153694694,1
"hit_woodwork_p90",0.00927503887224262,1
"att_pen_goal_p90",-0.0164046630760067,1
"att_pen_miss_p90",0.0831912758115543,1
"pen_goals_conceded_p90",-0.0153913632779914,1
"poss_lost_ctrl_p90",-0.00474617511463225,1
"long_pass_own_to_opp_p90",0.000814600089095048,1
"fifty_fifty_p90",3.29958482289531e-05,1
"fifty_fifty_won_p90",0.00343839759414414,1
"foul_differential_p90",0.00176396960803805,1
"errors_total_p90",0.0131873811631956,1
"xg_per90",0.0152303156365931,1
"npxg_per90",0.0760311657764671,1
"aerial_woe_per90",0.00606694063175237,1
"aerial_poss_woe_per90",0.00229846970443547,1
"takeon_woe_per90",0.000827097235826293,1
"tackle_poss_woe_per90",-0.00438014687576361,1
"containment_woe_per90",0.00306331028128148,1
"npg_minus_npxg_per90",8.41955297473593e-05,1
"obox_g_minus_xg_per90",0.00325854010073822,1
"placement_added_per90",0.00386414531127039,1
"gsaa_per90",0.000670295337919454,1
"chains_p90",4.55614105341053e-05,1
"chain_starts_p90",0.000550502872844983,1
"chain_xg_p90",-0.000300475825758472,1
"xa_per90_xmetrics",0.0641448440858586,1
"xpass_overperformance_per90_xmetrics",0.002941630697238,1
"shot_accuracy",-0.00276712823729456,1
"pass_accuracy",0.0526129113423457,1
"final_third_pass_acc",-0.00483535633164959,1
"long_ball_accuracy",0.000433725908683472,1
"cross_accuracy",-0.0045743427271989,1
"fwd_zone_pass_accuracy",-0.0481008321510384,1
"open_play_pass_accuracy",0.00328637114464284,1
"crosses_open_play_accuracy",0.00320500588517881,1
"keeper_sweeper_accuracy",0.0228887147647451,1
"flick_on_accuracy",-0.00250399314867724,1
"back_zone_pass_accuracy",-0.0538324690236494,1
"chipped_pass_accuracy",0.00580343787888828,1
"long_pass_own_to_opp_accuracy",-0.00221926613019905,1
"fifty_fifty_success",0.00547315803975384,1
"poss_lost_ctrl_per_touch",0.100031232310612,1
"is_gk",0.0107858582678106,1
"is_df",0.00336433434428651,1
"is_mf",0.00303757293979779,1
"is_fw",0.0044986215459899,1
