venue,lat,lon,country
Old Trafford,53.4631,-2.2913,ENG
Anfield,53.4308,-2.9608,ENG
Emirates Stadium,51.5549,-0.1084,ENG
Stamford Bridge,51.4817,-0.1910,ENG
Etihad Stadium,53.4831,-2.2004,ENG
Tottenham Hotspur Stadium,51.6042,-0.0662,ENG
London Stadium,51.5387,-0.0166,ENG
Goodison Park,53.4389,-2.9664,ENG
St. James' Park,54.9756,-1.6217,ENG
Villa Park,52.5092,-1.8847,ENG
Molineux Stadium,52.5903,-2.1306,ENG
King Power Stadium,52.6204,-1.1422,ENG
Selhurst Park,51.3983,-0.0856,ENG
Vitality Stadium,50.7352,-1.8384,ENG
Elland Road,53.7778,-1.5722,ENG
Craven Cottage,51.4749,-0.2217,ENG
Gtech Community Stadium,51.4907,-0.2886,ENG
Portman Road,52.0545,1.1447,ENG
The City Ground,52.9399,-1.1325,ENG
Santiago Bernabéu,40.4531,-3.6883,ESP
Camp Nou,41.3809,2.1228,ESP
Estadio Metropolitano,40.4362,-3.5995,ESP
Ramón Sánchez-Pizjuán,37.3840,-5.9706,ESP
San Mamés,43.2643,-2.9494,ESP
Mestalla,39.4745,-0.3583,ESP
Estadio Benito Villamarín,37.3564,-5.9817,ESP
Estadio de la Cerámica,39.9444,-0.1036,ESP
Anoeta,43.3013,-1.9736,ESP
Estadio Cívitas Metropolitano,40.4362,-3.5995,ESP
Allianz Arena,48.2188,11.6247,GER
Signal Iduna Park,51.4926,7.4518,GER
Olympiastadion,52.5147,13.2395,GER
Veltins-Arena,51.5546,7.0679,GER
Red Bull Arena,51.3459,12.3481,GER
Mercedes-Benz Arena,48.7925,9.2320,GER
Volksparkstadion,53.5873,9.8986,GER
Deutsche Bank Park,50.0686,8.6454,GER
BayArena,51.0384,6.9883,GER
Borussia-Park,51.1746,6.3854,GER
San Siro,45.4781,9.1240,ITA
Stadio Olimpico,41.9340,12.4547,ITA
Allianz Stadium,45.1096,7.6413,ITA
Stadio Diego Armando Maradona,40.8280,14.1931,ITA
Stadio Artemio Franchi,43.7808,11.2822,ITA
Stadio Renato Dall'Ara,44.4924,11.3097,ITA
Stadio Olimpico Grande Torino,45.0419,7.6500,ITA
Stadio Marc'Antonio Bentegodi,45.4353,10.9686,ITA
Gewiss Stadium,45.7088,9.6808,ITA
Parc des Princes,48.8414,2.2530,FRA
Stade Vélodrome,43.2698,5.3959,FRA
Groupama Stadium,45.7653,4.9822,FRA
Stade Pierre-Mauroy,50.6119,3.1304,FRA
Roazhon Park,48.1075,-1.7128,FRA
Allianz Riviera,43.7050,7.1926,FRA
Stade de la Beaujoire,47.2564,-1.5247,FRA
Stade Auguste-Delaune,49.2467,4.0253,FRA
Stade Bollaert-Delelis,50.4328,2.8153,FRA
Johan Cruijff ArenA,52.3142,4.9419,NED
Estádio da Luz,38.7527,-9.1847,POR
Estádio do Dragão,41.1616,-8.5836,POR
Estádio José Alvalade,38.7614,-9.1607,POR
Türk Telekom Stadyumu,41.1034,28.9943,TUR
Wembley Stadium,51.5560,-0.2795,ENG
Stade de France,48.9244,2.3601,FRA
